"pathway","mut","gsea","adj","MiniMax","MiniMaxP","drivers","MiniMaxFDR"
"HALLMARK_COAGULATION",0.379327410835396,0.0172196305498439,0.055159531114815,0.055159531114815,0.00879206772200638,"adj and gsea",0.439603386100319
"HALLMARK_ANDROGEN_RESPONSE",0.675800417565226,1.2515896254331e-07,0.143413032066616,0.143413032066616,0.0558026562313877,"adj and gsea",1
"HALLMARK_HEDGEHOG_SIGNALING",0.719250458572576,0.00494830442556126,0.158730299477929,0.158730299477929,0.0675874063572786,"adj and gsea",1
"HALLMARK_KRAS_SIGNALING_DN",0.838295182945524,0.226814516129032,0.047832977005901,0.226814516129032,0.130997608125015,"adj and gsea",1
"HALLMARK_BILE_ACID_METABOLISM",0.229141804808419,1.34501852190547e-05,0.686680116219014,0.229141804808419,0.133455276181905,"gsea and mut",1
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.999999999999999,0.0171089957810623,0.25130060443106,0.25130060443106,0.15771571294264,"adj and gsea",1
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.279451013452983,0.0430783590445869,1,0.279451013452983,0.190632344033464,"gsea and mut",1
"HALLMARK_PANCREAS_BETA_CELLS",0.756781675841417,0.283391405342625,0.0574436992031405,0.283391405342625,0.19541334804092,"adj and gsea",1
"HALLMARK_ANGIOGENESIS",0.405526393128809,0.403973509933775,1,0.405526393128809,0.359975993154716,"gsea and mut",1
"HALLMARK_MYOGENESIS",0.470651037218259,1,0.0883753021445081,0.470651037218259,0.456027115967429,"adj and mut",1
"HALLMARK_KRAS_SIGNALING_UP",0.218025601703266,0.683786505538771,0.497232668869358,0.497232668869358,0.495849045689154,"adj and mut",1
"HALLMARK_INFLAMMATORY_RESPONSE",0.504108324986672,0.882056451612903,0.116830944635794,0.504108324986672,0.506162348796644,"adj and mut",1
"HALLMARK_APICAL_JUNCTION",0.516297723441925,0.748991935483871,0.042536687718745,0.516297723441925,0.524437927297533,"adj and mut",1
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.542900895496639,1,4.48049289990382e-05,0.542900895496639,0.564193426178266,"adj and mut",1
"HALLMARK_HEME_METABOLISM",0.586198198542522,1,0.240574373628929,0.586198198542522,0.628016370269835,"adj and mut",1
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.631369395488119,1,0.622079360767421,0.631369395488119,0.69251976870346,"adj and mut",1
"HALLMARK_UV_RESPONSE_DN",0.675491348656182,4.20671121304657e-10,1,0.675491348656182,0.752427733936776,"gsea and mut",1
"HALLMARK_PROTEIN_SECRETION",0.69762036713683,2.9494393285121e-06,1,0.69762036713683,0.780994894359398,"gsea and mut",1
