"pathway","mut","gsea","adj","MiniMax","MiniMaxP","drivers","MiniMaxFDR"
"KEGG_CALCIUM_SIGNALING_PATHWAY",0.227345655470678,0.00484616116863847,0.00817611930859498,0.00817611930859498,0.000199453651240376,"adj and gsea",0.0370983791307099
"KEGG_TIGHT_JUNCTION",0.0378128898482587,0.0187642757592989,0.118689533180044,0.0378128898482587,0.00418131306915823,"gsea and mut",0.388862115431715
"KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION",0.229141804808419,0.000541142839596591,0.0560601878224047,0.0560601878224047,0.00907586826436259,"adj and gsea",0.56270383239048
"KEGG_COMPLEMENT_AND_COAGULATION_CASCADES",0.080858898890797,0.0651318097332854,0.0357782120856553,0.0651318097332854,0.0121738597602956,"adj and gsea",0.566084478853743
"KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION",0.811682657716922,1.12985916485574e-07,0.0774366953175938,0.0774366953175938,0.0170606360746497,"adj and gsea",0.634655661976967
"KEGG_LONG_TERM_DEPRESSION",0.0921100555295471,0.0137602062082083,0.881630240659193,0.0921100555295471,0.023889815240345,"gsea and mut",0.67119360032321
"KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS",0.0400541187322024,0.103891388157624,0.622233086996405,0.103891388157624,0.0301375747156034,"gsea and mut",0.67119360032321
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS",0.999999999999999,0.0691192236669452,0.105515053570923,0.105515053570923,0.0310507913967267,"adj and gsea",0.67119360032321
"KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM",0.334431006588394,0.000285884234314624,0.108007843292177,0.108007843292177,0.0324771096930585,"adj and gsea",0.67119360032321
"KEGG_INSULIN_SIGNALING_PATHWAY",0.120085347531035,1.18127850998641e-05,0.492251266583046,0.120085347531035,0.0397980928023988,"gsea and mut",0.690926483024781
"KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION",0.125878250253293,0.10050362550031,0.412299732732344,0.125878250253293,0.0435468358517851,"gsea and mut",0.690926483024781
"KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS",0.131007593180304,0.00153497822296424,1,0.131007593180304,0.0469920045279661,"gsea and mut",0.690926483024781
"KEGG_PPAR_SIGNALING_PATHWAY",0.13512886397326,0.00219488348051028,0.233146552656527,0.13512886397326,0.0498445749055575,"gsea and mut",0.690926483024781
"KEGG_INOSITOL_PHOSPHATE_METABOLISM",0.141364341201263,0.000631680965433989,0.706743014780328,0.141364341201263,0.0543016156866826,"gsea and mut",0.690926483024781
"KEGG_HISTIDINE_METABOLISM",0.842631272446758,0.0431069374341005,0.143300688491318,0.143300688491318,0.0557198776632888,"adj and gsea",0.690926483024781
"KEGG_DRUG_METABOLISM_OTHER_ENZYMES",0.983649152041992,0.150055991041433,0.0775438946814717,0.150055991041433,0.0607928397298383,"adj and gsea",0.70671676185937
"KEGG_TASTE_TRANSDUCTION",0.887432468509064,0.15695067264574,0.128332029914125,0.15695067264574,0.0661680478597587,"adj and gsea",0.723956288347948
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES",0.165254328707807,0.0916319646671482,0.82265828829693,0.165254328707807,0.0729011208064213,"gsea and mut",0.753311581666353
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION",0.999999999999998,0.000120332832579866,0.180766972853539,0.180766972853539,0.0862163596916821,"adj and gsea",0.796083442182176
"KEGG_TYPE_II_DIABETES_MELLITUS",0.1808641270784,0.0405118855551768,1,0.1808641270784,0.0863027033440833,"gsea and mut",0.796083442182176
"KEGG_ECM_RECEPTOR_INTERACTION",0.95336416777162,0.176220806794055,0.188744456506097,0.188744456506097,0.0934255671805861,"adj and gsea",0.796083442182176
"KEGG_ARACHIDONIC_ACID_METABOLISM",1,0.199945659816887,0.021263546451319,0.199945659816887,0.103947838739672,"adj and gsea",0.796083442182176
"KEGG_DILATED_CARDIOMYOPATHY",0.779087930663672,0.179271347692871,0.201019150765168,0.201019150765168,0.10498025222035,"adj and gsea",0.796083442182176
"KEGG_SMALL_CELL_LUNG_CANCER",0.311424278621128,0.000644159574246487,0.205521484717321,0.205521484717321,0.10935516489217,"adj and gsea",0.796083442182176
"KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY",0.999999999999997,0.108746354608066,0.208770390061323,0.208770390061323,0.112556680761882,"adj and gsea",0.796083442182176
"KEGG_THYROID_CANCER",0.21146254225276,0.00310438832334171,0.625111959721301,0.21146254225276,0.115237530213478,"gsea and mut",0.796083442182176
"KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC",0.989943314019554,0.00129422929056505,0.218676462865213,0.218676462865213,0.122544233743956,"adj and gsea",0.796083442182176
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM",0.222536855090225,0.143138132442599,0.272015306759885,0.222536855090225,0.126526725213053,"gsea and mut",0.796083442182176
"KEGG_LYSINE_DEGRADATION",0.223924595484021,0.0323654528725018,1,0.223924595484021,0.127970518729097,"gsea and mut",0.796083442182176
"KEGG_GNRH_SIGNALING_PATHWAY",0.94696101766856,0.0115850759596443,0.224336753911387,0.224336753911387,0.128400555190674,"adj and gsea",0.796083442182176
"KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY",1,0.000366557385361885,0.241822985638352,0.241822985638352,0.147152247677596,"adj and gsea",0.874049004396866
"KEGG_STEROID_HORMONE_BIOSYNTHESIS",0.222536855090225,0.244739756367663,1,0.244739756367663,0.150374022261826,"gsea and mut",0.874049004396866
"KEGG_PROTEIN_EXPORT",0.262593972247684,0.152173913043478,0.438576644220269,0.262593972247684,0.170652135971157,"gsea and mut",0.961857493655612
"KEGG_NON_SMALL_CELL_LUNG_CANCER",0.277812833803128,0.00372596638397807,0.480147038717265,0.277812833803128,0.188656739172424,"gsea and mut",0.998836138233765
"KEGG_LINOLEIC_ACID_METABOLISM",0.999999999999994,0.279620853080569,0.0249309234109145,0.279620853080569,0.190837573748413,"adj and gsea",0.998836138233765
"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION",0.114553635356404,0.281672816728167,1,0.281672816728167,0.193323123529116,"gsea and mut",0.998836138233765
