pathway,Significant_Association,pval
KEGG_ABC_TRANSPORTERS,FALSE,0.901103048897866
KEGG_ACUTE_MYELOID_LEUKEMIA,FALSE,0.885999741307597
KEGG_ADHERENS_JUNCTION,FALSE,0.628907862906225
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,FALSE,1
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,FALSE,0.999999999999997
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,FALSE,0.821061399463669
KEGG_ALLOGRAFT_REJECTION,FALSE,0.454766266818223
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,FALSE,0.453089482456556
KEGG_ALZHEIMERS_DISEASE,FALSE,0.930052747700371
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,FALSE,0.603424732369452
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,FALSE,0.605767843665033
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,FALSE,0.196380637521954
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,FALSE,0.498842221103446
KEGG_APOPTOSIS,FALSE,0.675800417565226
KEGG_ARACHIDONIC_ACID_METABOLISM,FALSE,1
KEGG_ARGININE_AND_PROLINE_METABOLISM,FALSE,0.258097113487657
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,FALSE,0.989943314019554
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,FALSE,0.999999999999994
KEGG_ASTHMA,FALSE,0.773291398974886
KEGG_AUTOIMMUNE_THYROID_DISEASE,FALSE,0.494060882973326
KEGG_AXON_GUIDANCE,FALSE,0.838295182945524
KEGG_BASAL_CELL_CARCINOMA,FALSE,1
KEGG_BASAL_TRANSCRIPTION_FACTORS,FALSE,1
KEGG_BASE_EXCISION_REPAIR,FALSE,0.475604076472531
KEGG_BETA_ALANINE_METABOLISM,FALSE,0.756781675841417
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,TRUE,0.0400541187322024
KEGG_BLADDER_CANCER,FALSE,0.999999999999996
KEGG_BUTANOATE_METABOLISM,FALSE,0.580028594047504
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,FALSE,0.941967374180977
KEGG_CALCIUM_SIGNALING_PATHWAY,FALSE,0.227345655470678
KEGG_CARDIAC_MUSCLE_CONTRACTION,FALSE,0.867383969077213
KEGG_CELL_ADHESION_MOLECULES_CAMS,FALSE,0.437036417186446
KEGG_CELL_CYCLE,FALSE,0.999999999999999
KEGG_CHEMOKINE_SIGNALING_PATHWAY,FALSE,0.583782878358285
KEGG_CHRONIC_MYELOID_LEUKEMIA,FALSE,1
KEGG_CIRCADIAN_RHYTHM_MAMMAL,FALSE,0.999999999999999
KEGG_CITRATE_CYCLE_TCA_CYCLE,FALSE,0.999999999999996
KEGG_COLORECTAL_CANCER,FALSE,0.867383969077213
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,FALSE,0.080858898890797
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,FALSE,0.518085576362189
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,FALSE,0.657399837579472
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,FALSE,0.487552104953295
KEGG_DILATED_CARDIOMYOPATHY,FALSE,0.779087930663672
KEGG_DNA_REPLICATION,FALSE,0.999999999999995
KEGG_DORSO_VENTRAL_AXIS_FORMATION,FALSE,0.956895158309946
KEGG_DRUG_METABOLISM_CYTOCHROME_P450,FALSE,0.882929857112245
KEGG_DRUG_METABOLISM_OTHER_ENZYMES,FALSE,0.983649152041992
KEGG_ECM_RECEPTOR_INTERACTION,FALSE,0.95336416777162
KEGG_ENDOCYTOSIS,FALSE,0.752675849651378
KEGG_ENDOMETRIAL_CANCER,FALSE,1
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,FALSE,0.999999999999999
KEGG_ERBB_SIGNALING_PATHWAY,FALSE,1
KEGG_ETHER_LIPID_METABOLISM,FALSE,0.766722261718007
KEGG_FATTY_ACID_METABOLISM,FALSE,0.68938101806693
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,FALSE,0.999999999999997
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,FALSE,0.279451013452983
KEGG_FOCAL_ADHESION,FALSE,1
KEGG_FOLATE_BIOSYNTHESIS,FALSE,1
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,FALSE,0.222536855090225
KEGG_GALACTOSE_METABOLISM,FALSE,0.274823051964828
KEGG_GAP_JUNCTION,FALSE,0.327871410692283
KEGG_GLIOMA,FALSE,0.339180824267176
KEGG_GLUTATHIONE_METABOLISM,FALSE,1
KEGG_GLYCEROLIPID_METABOLISM,FALSE,0.094630149348448
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,FALSE,0.722036567052646
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,FALSE,0.946694317327796
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,FALSE,0.999999999999999
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,FALSE,0.0893038275800859
