"pathway","pval_mut","pval_gsea","pval_adj"
"Cell_cycle",0.586347504646116,0.655172413793103,0.912610592004977
"Hippo",0.908793339526621,0.0303780154306059,0.609401102387342
"Myc",0.268834111593004,0.372294372294372,0.247788677165075
"Notch",0.497429307836637,0.0182089436200413,0.239189720322437
"Nrf2",0.773291398974886,0.044945060345489,0.100204971517413
"p53",0.685813305714846,0.056786703601108,1
"PI3K",0.321724364360766,0.0146923516749059,0.309614782368036
"RTK-RAS",NA,0.138130746079883,0.978271431775557
"RTK.RAS",0.848402577750445,NA,NA
"TGF_Beta",0.999999999999996,0.103571428571429,0.418999544118294
"Wnt",0.999999999999999,0.280898876404494,0.527728275367468
