"pathway","pval_mut","pval_gsea","pval_adj"
"KEGG_ABC_TRANSPORTERS",0.901103048897866,0.656144306651635,0.212088783993993
"KEGG_ACUTE_MYELOID_LEUKEMIA",0.885999741307597,0.000159938684806273,0.590572853439743
"KEGG_ADHERENS_JUNCTION",0.628907862906225,7.08317464737106e-06,1
"KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY",1,0.000366557385361885,0.241822985638352
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",0.999999999999997,0.616898148148148,0.386272085588915
"KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION",0.821061399463669,0.0384692694767645,1
"KEGG_ALLOGRAFT_REJECTION",0.454766266818223,0.983644859813084,1
"KEGG_ALPHA_LINOLENIC_ACID_METABOLISM",0.453089482456556,0.622333751568381,0.0333894850310432
"KEGG_ALZHEIMERS_DISEASE",0.930052747700371,0.931243680485339,1
"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM",0.605767843665033,0.874859075535513,0.729577223468415
"KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",0.603424732369452,0.708571428571429,1
"KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS",0.196380637521954,0.863787375415282,0.80464542846631
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",0.498842221103446,0.358518037253504,1
"KEGG_APOPTOSIS",0.675800417565226,0.0277987183091693,0.587777700398792
"KEGG_ARACHIDONIC_ACID_METABOLISM",1,0.199945659816887,0.021263546451319
"KEGG_ARGININE_AND_PROLINE_METABOLISM",0.258097113487657,0.724750277469478,0.709095330679052
"KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC",0.989943314019554,0.00129422929056505,0.218676462865213
"KEGG_ASCORBATE_AND_ALDARATE_METABOLISM",0.999999999999994,0.0841619675475438,1
"KEGG_ASTHMA",0.773291398974886,0.517814726840855,0.417354228324563
"KEGG_AUTOIMMUNE_THYROID_DISEASE",0.494060882973326,0.985442329227324,1
"KEGG_AXON_GUIDANCE",0.838295182945524,8.42276759075237e-05,1
"KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.941967374180977,8.54484410605088e-05,1
"KEGG_BASAL_CELL_CARCINOMA",1,0.116279069767442,1
"KEGG_BASAL_TRANSCRIPTION_FACTORS",1,0.296296296296296,1
"KEGG_BASE_EXCISION_REPAIR",0.475604076472531,0.3512252042007,1
"KEGG_BETA_ALANINE_METABOLISM",0.756781675841417,0.00460976001381165,1
"KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS",0.0400541187322024,0.103891388157624,0.622233086996405
"KEGG_BLADDER_CANCER",0.999999999999996,0.0572344211309906,0.781063370292164
"KEGG_BUTANOATE_METABOLISM",0.580028594047504,0.0527729682083387,1
"KEGG_CALCIUM_SIGNALING_PATHWAY",0.227345655470678,0.00484616116863847,0.00817611930859498
"KEGG_CARDIAC_MUSCLE_CONTRACTION",0.867383969077213,0.175646551724138,0.442429684945248
